date,deaths
1849-01-01,13
1849-01-02,19
1849-01-03,28
1849-01-04,24
1849-01-05,23
1849-01-06,39
1849-01-07,25
1849-01-08,35
1849-01-09,26
1849-01-10,23
1849-01-11,22
1849-01-12,26
1849-01-13,21
1849-01-14,17
1849-01-15,17
1849-01-16,23
1849-01-17,14
1849-01-18,9
1849-01-19,16
1849-01-20,12
1849-01-21,19
1849-01-22,16
1849-01-23,36
1849-01-24,17
1849-01-25,17
1849-01-26,24
1849-01-27,19
1849-01-28,16
1849-01-29,20
1849-01-30,22
1849-01-31,20
1849-01-01,29
1849-01-02,17
1849-01-03,36
1849-01-04,21
1849-01-05,34
1849-01-06,23
1849-01-07,25
1849-01-08,36
1849-01-09,41
1849-01-10,25
1849-01-11,25
1849-01-12,21
1849-01-13,24
1849-01-14,21
1849-01-15,20
1849-01-16,34
1849-01-17,22
1849-01-18,31
1849-01-19,26
1849-01-20,27
1849-01-21,29
1849-01-22,29
1849-01-23,17
1849-01-24,28
1849-01-25,24
1849-01-26,23
1849-01-27,25
1849-01-28,22
1849-01-29,30
1849-01-30,18
1849-01-31,27
1849-02-01,20
1849-02-02,14
1849-02-03,16
1849-02-04,17
1849-02-05,12
1849-02-06,16
1849-02-07,20
1849-02-08,13
1849-02-09,16
1849-02-10,25
1849-02-11,11
1849-02-12,5
1849-02-13,20
1849-02-14,5
1849-02-15,13
1849-02-16,8
1849-02-17,13
1849-02-18,17
1849-02-19,8
1849-02-20,16
1849-02-21,8
1849-02-22,15
1849-02-23,11
1849-02-24,11
1849-02-25,12
1849-02-26,12
1849-02-27,9
1849-02-28,8
1849-02-01,24
1849-02-02,34
1849-02-03,25
1849-02-04,20
1849-02-05,36
1849-02-06,28
1849-02-07,21
1849-02-08,25
1849-02-09,30
1849-02-10,17
1849-02-11,33
1849-02-12,16
1849-02-13,36
1849-02-14,22
1849-02-15,18
1849-02-16,29
1849-02-17,20
1849-02-18,20
1849-02-19,28
1849-02-20,24
1849-02-21,21
1849-02-22,29
1849-02-23,23
1849-02-24,19
1849-02-25,24
1849-02-26,26
1849-02-27,24
1849-02-28,26
1849-03-01,10
1849-03-02,4
1849-03-03,8
1849-03-04,6
1849-03-05,7
1849-03-06,7
1849-03-07,8
1849-03-08,6
1849-03-09,5
1849-03-10,11
1849-03-11,28
1849-03-12,16
1849-03-13,14
1849-03-14,9
1849-03-15,9
1849-03-16,14
1849-03-17,11
1849-03-18,16
1849-03-19,13
1849-03-20,11
1849-03-21,9
1849-03-22,8
1849-03-23,6
1849-03-24,7
1849-03-25,10
1849-03-26,6
1849-03-27,8
1849-03-28,10
1849-03-29,8
1849-03-30,4
1849-03-31,13
1849-03-01,23
1849-03-02,25
1849-03-03,25
1849-03-04,21
1849-03-05,26
1849-03-06,13
1849-03-07,34
1849-03-08,19
1849-03-09,26
1849-03-10,21
1849-03-11,21
1849-03-12,23
1849-03-13,25
1849-03-14,19
1849-03-15,24
1849-03-16,30
1849-03-17,25
1849-03-18,21
1849-03-19,20
1849-03-20,21
1849-03-21,30
1849-03-22,15
1849-03-23,21
1849-03-24,21
1849-03-25,21
1849-03-26,29
1849-03-27,26
1849-03-28,25
1849-03-29,17
1849-03-30,19
1849-03-31,22
1849-04-01,3
1849-04-02,6
1849-04-03,4
1849-04-04,4
1849-04-05,4
1849-04-06,2
1849-04-07,7
1849-04-08,0
1849-04-09,8
1849-04-10,3
1849-04-11,2
1849-04-12,4
1849-04-13,3
1849-04-14,0
1849-04-15,5
1849-04-16,3
1849-04-17,9
1849-04-18,3
1849-04-19,4
1849-04-20,2
1849-04-21,4
1849-04-22,2
1849-04-23,2
1849-04-24,2
1849-04-25,2
1849-04-26,0
1849-04-27,5
