dt,MW
01-01-2011 00:00,3416
01-01-2011 00:15,4755
01-01-2011 00:30,4939
01-01-2011 00:45,4939
01-01-2011 01:00,4998
01-01-2011 01:15,5184
01-01-2011 01:30,5341
01-01-2011 01:45,5438
01-01-2011 02:00,5509
01-01-2011 02:15,5638
01-01-2011 02:30,5582
01-01-2011 02:45,5792
01-01-2011 03:00,5962
01-01-2011 03:15,6009
01-01-2011 03:30,6025
01-01-2011 03:45,6075
01-01-2011 04:00,6231
01-01-2011 04:15,6399
01-01-2011 04:30,6346
01-01-2011 04:45,6452
01-01-2011 05:00,6449
01-01-2011 05:15,6478
01-01-2011 05:30,6438
01-01-2011 05:45,6456
01-01-2011 06:00,6481
01-01-2011 06:15,6447
01-01-2011 06:30,6276
01-01-2011 06:45,6362
01-01-2011 07:00,6447
01-01-2011 07:15,6517
01-01-2011 07:30,6483
01-01-2011 07:45,6615
01-01-2011 08:00,6694
01-01-2011 08:15,6719
01-01-2011 08:30,6790
01-01-2011 08:45,6739
01-01-2011 09:00,6659
01-01-2011 09:15,6739
01-01-2011 09:30,6774
01-01-2011 09:45,6743
01-01-2011 10:00,6805
01-01-2011 10:15,6782
01-01-2011 10:30,6640
01-01-2011 10:45,6649
01-01-2011 11:00,6697
01-01-2011 11:15,6600
01-01-2011 11:30,6584
01-01-2011 11:45,6351
01-01-2011 12:00,6288
01-01-2011 12:15,6204
01-01-2011 12:30,6243
01-01-2011 12:45,6199
01-01-2011 13:00,6226
01-01-2011 13:15,6189
01-01-2011 13:30,6215
01-01-2011 13:45,6219
01-01-2011 14:00,6023
01-01-2011 14:15,5966
01-01-2011 14:30,5738
01-01-2011 14:45,5469
01-01-2011 15:00,5406
01-01-2011 15:15,5343
01-01-2011 15:30,5178
01-01-2011 15:45,5009
01-01-2011 16:00,4936
01-01-2011 16:15,4825
01-01-2011 16:30,4706
01-01-2011 16:45,4586
01-01-2011 17:00,4485
01-01-2011 17:15,4424
01-01-2011 17:30,4259
01-01-2011 17:45,4199
01-01-2011 18:00,4156
01-01-2011 18:15,4230
01-01-2011 18:30,4201
01-01-2011 18:45,4188
01-01-2011 19:00,4110
01-01-2011 19:15,3940
01-01-2011 19:30,3956
01-01-2011 19:45,4023
01-01-2011 20:00,3917
01-01-2011 20:15,3817
01-01-2011 20:30,3977
01-01-2011 20:45,3933
01-01-2011 21:00,3890
01-01-2011 21:15,3951
01-01-2011 21:30,3816
01-01-2011 21:45,3796
01-01-2011 22:00,3623
01-01-2011 22:15,3486
01-01-2011 22:30,3598
01-01-2011 22:45,3614
01-01-2011 23:00,3639
01-01-2011 23:15,3484
01-01-2011 23:30,3576
01-01-2011 23:45,3529
02-01-2011 00:00,2394
02-01-2011 00:15,66
02-01-2011 00:30,70
02-01-2011 00:45,79
02-01-2011 01:00,79
02-01-2011 01:15,85
02-01-2011 01:30,102
02-01-2011 01:45,127
02-01-2011 02:00,131
02-01-2011 02:15,141
02-01-2011 02:30,141
02-01-2011 02:45,140
02-01-2011 03:00,148
02-01-2011 03:15,146
02-01-2011 03:30,135
02-01-2011 03:45,148
02-01-2011 04:00,155
02-01-2011 04:15,160
02-01-2011 04:30,170
02-01-2011 04:45,184
02-01-2011 05:00,189
02-01-2011 05:15,187
02-01-2011 05:30,233
02-01-2011 05:45,269
02-01-2011 06:00,270
02-01-2011 06:15,282
02-01-2011 06:30,262
02-01-2011 06:45,256
02-01-2011 07:00,247
02-01-2011 07:15,242
02-01-2011 07:30,234
02-01-2011 07:45,220
02-01-2011 08:00,215
02-01-2011 08:15,240
02-01-2011 08:30,266
02-01-2011 08:45,304
02-01-2011 09:00,337
02-01-2011 09:15,376
02-01-2011 09:30,382
02-01-2011 09:45,379
02-01-2011 10:00,366
02-01-2011 10:15,378
02-01-2011 10:30,426
02-01-2011 10:45,456
02-01-2011 11:00,445
02-01-2011 11:15,483
02-01-2011 11:30,545
02-01-2011 11:45,533
02-01-2011 12:00,536
02-01-2011 12:15,602
02-01-2011 12:30,612
02-01-2011 12:45,665
02-01-2011 13:00,661
02-01-2011 13:15,668
02-01-2011 13:30,641
02-01-2011 13:45,684
02-01-2011 14:00,722
02-01-2011 14:15,764
02-01-2011 14:30,819
02-01-2011 14:45,808
02-01-2011 15:00,778
02-01-2011 15:15,783
02-01-2011 15:30,863
02-01-2011 15:45,911
02-01-2011 16:00,970
02-01-2011 16:15,917
02-01-2011 16:30,910
02-01-2011 16:45,960
02-01-2011 17:00,931
02-01-2011 17:15,1002
02-01-2011 17:30,1076
02-01-2011 17:45,1127
02-01-2011 18:00,1262
02-01-2011 18:15,1304
02-01-2011 18:30,1374
02-01-2011 18:45,1532
02-01-2011 19:00,1539
02-01-2011 19:15,1632
02-01-2011 19:30,1778
02-01-2011 19:45,1776
02-01-2011 20:00,1821
02-01-2011 20:15,1888
02-01-2011 20:30,2076
02-01-2011 20:45,2140
02-01-2011 21:00,2181
